username,review,calificacion
Rosalía RM,"Me fascinó. Se comenzó con una tabla de quesos. La cual iba acompañada de gel de vino espumoso, compota de jitomates, ate, tapenade. Esta tabla la acompañamos con el vino Pies de Tierra (Syrah/tempranillo), fabuloso. Si piden la tabla de…",4
Mar Felix,"Gran lugar, platillos ricos con ingredientes muy frescos, nos ofrecieron agua lo cual es un detalle importante. La presentación impecable de cada plato además de la decoración muy linda y el servicio de los chicos de 10 . Lo recomiendo bastante",4
Valeria Márquez Hernández,"La comida de este lugar es deliciosa y el precio es adecuado para los platillos. El servicio es muy cordial y amable por parte de los meseros, además de que son muy atentos. La atención es muy rápida. El lugar es muy bonito y acogedor. Definitivamente volvería más veces.",4
Elisa,"El lugar está muy lindo, la comida está buenísima mi favorito fue el platillo de totoaba (de criadero)! Quiero regresar ! Los precios son entre $200-$400 platillo.",4
Hector Deambrosi,"Una sorpresa muy agradable. El sitio es muy acogedor, a media cuadra de Reforma, pero sin bullicio. La carta es espectacular, no importa por donde se la mire. (tomé las croquetas de bacalao, la sopa tarasca, un riquísimo chile en nogada y…",4
Emilio H,"Excelente lugar, tienen brunch todo el día y la verdad la comida es buenísima. Las alcachofas y los ravioles son espectaculares, no tienen comparación. Tiene muy buenos precios, hasta cierto punto económico si lo comparas con Niddo (siendo…",4
Emilia Soto,"Este lugar es el secreto mejor guardado de la Juarez! Debería estar lleno los 7 días de la semana. Es rico, el servicio súper atento y los precios muy decentes en relación calidad y precio. Los ravioles son excelente opción y para los…",4
Diana Lovar,La comida es aceptable y el servicio es bueno. El menú es variado. Los cócteles se son ricos pero un poco rebajados y algunos platillos de la…,3
Ernesto Ibarra,"Huevos benedict con salsa de huitlacoche, brutal. Acompañamos con un jugo verde y una mimosa. El brunch está muy bien de precio.",4
anakaren bores,Exelente comida!!! Los platillos sorprenden en sabores y texturas. Un lugar muy bonito en la Juárez...,4
Fernanda Bravo Contreras,"El lugar pequeño, acogedor estilo 70s y muy bonito. La comida riquísima, exquisita.",4
Ivan Fuentes,Delicioso Gran servicio y la comida estuvo brutal,4
Ameyalli Guzmán,"El personal es muy amable, la comida es rica, y es peculiar, puedes elegir comer en el menú de desayuno comida brunche etc sin problema (en otros lugares hay límite de horario). Nos sirvieron agua al principio y nos regalaron un tipo canapé…",4
Luis Bernal,"Bueno. Su cocina con base mexicana no decepciona, tiene buenas propuestas y para todos gustos y bolsillos. Entradas y fuertes son lo que manejan. Te hace probar y te invita a regresar. Vale la pena conocerlo.",4
JESUS MAS,"Muy buen sabor en sus platillos, la atención del personal amable.",3
Yuls Suarez,"Desde la llegada el servicio fue muy cálido, la comida increíble.",4
Ronney Espinosa,"Buena comida en general, las primeras veces que fui, me encantó, pero está última vez tanto el servicio por parte de la mesera como el sabor del plato fue deficiente",2
Mauricio,"Excelente lugar, muy bonito, gran servicio, los alimentos deliciosos! Muy recomendable!!",4
Alan H,"Atención correcta, en estos tiempos eso ya debería dar muchos puntos a favor, pero además la comida es BUENA, especialmente en lo referente a todo lo horneado. Para regresar.",4
Carmina “Suns and Moons” Bretón,Exquisita comida!,4
Marco Moncada,"Excelente restaurante, gran servicio, lo recomiendo",4
Maru Fuentes,"Deliciosa comida, excelente servicio y el lugar super lindo! Muy recomendable! Probamos las croquetas de bacalao, las alcachofas y su version de un pay de limón wow! Tienen sidra natural que siempre se aprecia",4
JEFFERSON PROAÑO,"Un restaurante con ambiente familiar pero con una cocina sorprendente, en una casa muy bonita. El servicio ligeramente falto de capacitación pero con excelente disposición. Vinos aceptables y precios de acuerdo a su nivel. Sí volvería para probar otros platos de su carta.",4
Elizabeth Sosa,El lugar esta escondido pero muy bonito. Buena atención pero poca variedad en la carta. Precios excesivos y porciones minúsculas. No me encantó nada de los platillos que pedí.,2
elianne varscher,"El lugar es una delicia, todo fresco, casero y hecho con el corazón. Pedir un vino y chequear el especial del día. No te quedes sin pedir algún postre, la pavlova o el de camote son mis favoritos.",4
ssttrauss,"Que buen descubrimiento  excelente ambiente, muy privado y buenísimos sabores",4
